"","YEAR","ROUND","WSEED","WTEAM","WSCORE","LSEED","LTEAM","LSCORE","SCORE_DIFF","confW","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"76",2014,1,5,"Saint Louis",83,12,"North Carolina State",80,3,"A10","ACC",-3,4,-9.89999999999999,-11,0.0411,-0.399999999999999,-3.1,2.8,3.6,-5.3,-6.6,3.3,-7,-1,-2.9,1.2,-2.5,1,3.2
"77",2014,1,7,"Oregon",87,10,"BYU",68,19,"P12","WCC",0,2,4.3,-0.5,0.0642,2.9,0,0.800000000000001,2.3,-2.7,3.3,-3.8,11,1.8,1.2,2,-1.3,-3.7,2
"78",2014,1,11,"Tennessee",86,6,"Massachusetts",67,-19,"SEC","A10",-3,1,-9.09999999999999,3.5,-0.1422,0.600000000000001,0.100000000000001,2,1.8,-5.40000000000001,4.2,-2.59999999999999,5.7,-0.700000000000003,2.3,2.7,-3.7,8.7,3.2
"79",2014,1,7,"Connecticut",89,10,"Saint Joseph's",81,8,"Amer","A10",6,8,-1.3,-6.2,0.0625,-2.4,-3.2,-1.4,4.3,0.899999999999999,5,-5.3,5.1,-4.2,-3.8,0.800000000000004,-1.2,-1.10000000000001,2.6
"80",2014,1,10,"Stanford",58,7,"New Mexico",53,-5,"P12","MWC",-2,4,1.09999999999999,-0.799999999999997,0.0256999999999999,-0.199999999999996,-3,-1.1,-2.1,3.2,0.0999999999999979,1.7,-5.7,1.8,-4.7,-3.2,-0.100000000000001,-1,3.3
"81",2014,2,4,"Michigan State",80,12,"Harvard",73,7,"B10","Ivy",7,3,7.69999999999999,0.0999999999999943,0.0678,2.4,-0.400000000000006,-0.200000000000003,-3.4,0.600000000000001,-1.8,-14.7,4,2.4,-1.4,0.600000000000001,0.5,0.700000000000003,4.7
"82",2014,2,3,"Iowa State",85,6,"North Carolina",83,2,"B12","ACC",2,4,5.19999999999999,4.09999999999999,0.002,4.3,0.700000000000003,-2.4,-3.4,-9.3,-2.8,-6.5,-10.7,4.7,-0.700000000000003,2.2,2.4,0.799999999999997,3.3
"83",2014,2,1,"Florida",61,9,"Pittsburgh",45,16,"SEC","ACC",3,10,-1.19999999999999,-5.59999999999999,0.0314,1.5,-1.3,1.2,2.1,-1.90000000000001,-1,-1.9,-5.2,1.2,-2,0.799999999999997,0.399999999999999,-0.699999999999996,7.6
"84",2014,2,1,"Virginia",78,8,"Memphis",60,18,"ACC","Amer",4,7,2,-7.5,0.097,-1.1,-4.2,-2.1,-1.9,-1.9,-7.5,2.5,-1.3,-3.7,-7.1,3.9,1.3,-8.3,5.4
"85",2014,2,8,"Kentucky",78,1,"Wichita State",76,-2,"SEC","MVC",-5,5,-0.799999999999997,-3.2,0.0233,2.5,-1.3,-1.9,2.1,-7,-3.5,-4.9,-1.09999999999999,2.3,-1.3,1.8,-1.1,-0.800000000000011,4.2
"86",2014,2,1,"Arizona",84,8,"Gonzaga",61,23,"P12","WCC",3,5,2.60000000000001,-5.89999999999999,0.0572,-3.5,-2.3,-1.7,1.7,5.8,-2.2,-0.200000000000003,-4.4,-2.9,-3.09999999999999,-2.6,0.199999999999999,-2.2,5.4
"87",2014,2,6,"Baylor",85,3,"Creighton",55,-30,"B12","BE",-1,3,6,2.40000000000001,0.0259,7.6,-0.200000000000003,-2.8,-1,-12.4,-4.2,-10.9,0.700000000000003,8,0.600000000000001,3.4,-1.4,2.50000000000001,2.5
"88",2014,2,2,"Michigan",79,7,"Texas",65,14,"B10","B12",2,4,12.6,3.2,0.0788,8.3,2.9,-2.7,0.800000000000001,-10.2,0.300000000000001,-8.5,-14.3,5.8,7.3,7.5,-3.4,-6.1,4.1
"89",2014,2,4,"Louisville",66,5,"Saint Louis",51,15,"Amer","A10",4,5,13.9,-2.80000000000001,0.1233,3.9,-0.5,-3.3,4,8.3,3.7,0.900000000000006,2.8,2.2,-0.100000000000001,5.1,-1,1.3,1.5
"90",2014,2,2,"Wisconsin",85,7,"Oregon",77,8,"B10","P12",4,6,4.60000000000001,-4.09999999999999,0.0721,-0.200000000000003,-1.9,-3.4,-3.6,-4.1,-4.5,-1.09999999999999,-20.7,0.299999999999997,-3.5,-1.3,1.7,-5.4,5.3
"91",2014,2,4,"San Diego State",63,12,"North Dakota State",44,19,"MWC","Sum",4,6,-4.5,-12.3,0.1347,-7.8,-5.4,-0.4,3.5,5.5,1.5,3.5,-7.8,-10.3,-2.6,-0.5,-7,0,5.8
"92",2014,2,11,"Tennessee",83,14,"Mercer",63,20,"SEC","ASun",3,-1,8.5,-8.39999999999999,0.2381,-4.2,-0.299999999999997,-0.699999999999999,-2.1,7.7,-3.6,4.5,-9.5,-1,-2.4,-6.9,3.5,-2.1,3.2
"93",2014,2,7,"Connecticut",77,2,"Villanova",65,-12,"Amer","BE",-6,-3,2.7,1.2,0.00890000000000002,2.1,1.7,0,0.399999999999999,2.2,-4.1,6.2,2.9,5.7,0.799999999999997,-3.1,2.3,2.8,3.6
"94",2014,2,11,"Dayton",55,3,"Syracuse",53,-2,"A10","ACC",-3,2,1.2,-6.3,0.0968,-4.2,-0.799999999999997,-3.3,3.1,4.2,2.7,-2.4,-6.3,-2.7,-2.8,-4.6,1.3,-3.90000000000001,7.3
"95",2014,2,10,"Stanford",60,2,"Kansas",57,-3,"P12","B12",-1,2,7.5,-0.900000000000006,0.0834,2.90000000000001,-0.899999999999999,2.1,-0.600000000000001,8,0.699999999999999,3.3,8.5,5.6,-1.5,-2.4,0.600000000000001,1,5.8
